r_bookID|r_title|r_avgbookrating
5261|A Backward Glance|3.76
5272|The Best Short Stories of Edith Wharton|3.77
5289|Complete Works of Oscar Wilde|4.45
5294|Oscar Wilde|4.24
5296|An Ideal Husband|4.04
5297|The Picture of Dorian Gray|4.08
5304|De Profundis and Other Writings|4.21
5305|Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations)|3.95
5306|Travels with Charley: In Search of America|4.08
5307|Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men|4.35
5308|The Pearl|3.46
5309|The Life and Times of Scrooge McDuck|4.67
5310|The Life and Times of Scrooge McDuck Companion|4.48
5314|The Last Christmas of Ebenezer Scrooge|4.13
5316|Uncle Scrooge #359|3.88
5319|A Christmas Story|4.08
5321|My First Story of Christmas|4.07
5322|The Christmas Story|4.43
5327|A Christmas Carol|4.05
5328|A Christmas Carol|4.05
5330|The Annotated Christmas Carol|4.05
5332|Charles Dickens' A Christmas Carol|4.10
5337|Little Dorrit|3.99
5338|A Christmas Carol and Other Christmas Writings|4.14
5342|The Life of Our Lord: Written for His Children During the Years 1846 to 1849|4.01
5344|Hard Times|3.52
5345|The Innocent Man: Murder and Injustice in a Small Town|3.82
5346|The Last Juror|3.87
5348|The Testament|3.86
5349|The Rainmaker|3.94
5350|The Partner|3.92
5351|The Street Lawyer|3.83
5352|The Summons|3.69
5354|The Brethren|3.73
5356|The King of Torts|3.68
5357|Skipping Christmas|3.49
5358|The Firm|4.01
5359|The Client|4.00
5360|A Painted House|3.70
5362|The Summons / The Brethren|3.99
5364|Dragonfly in Amber (Outlander  #2)|4.32
5368|Forever Amber|3.99
5370|Amber Brown Is Green With Envy|3.95
5371|Amber Brown Is Not a Crayon|3.84
5372|Amber and Ashes (Dragonlance: The Dark Disciple  #1)|3.87
5373|The Waste Lands (The Dark Tower  #3)|4.24
5374|The Dragon's Eye (Dragonology Chronicles  #1)|3.82
5375|The Dragon's Eye (Erec Rex  #1)|4.00
5376|Dragon's Eye (Stonefort  #1)|3.43
5396|Dragon's Eye|3.51
5402|"Stand Back  Said the Elephant  ""I'm Going to Sneeze!"""|4.39
5404|Here I Stand: A Life of Martin Luther|4.08
5412|The Stand: Das letzte Gefecht|4.34
5413|'Salem's Lot|4.25
5414|'Salem's Lot|4.02
5415|'Salem's Lot|4.02
5417|Carrie / 'Salem's Lot / The Shining|4.54
5419|'Salem's Lot|4.02
5420|'Salem's Lot|4.02
5427|Orientalism|4.08
5439|Interpreter of Maladies|4.15
5442|The Faiths of the Founding Fathers|3.89
5452|Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3)|3.83
5453|Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4)|3.81
5458|Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21)|4.04
5471|Nineteen Eighty-Four|4.18
5472|Animal Farm / 1984|4.28
5477|1984|4.18
5478|Nineteen Eighty-Four|4.18
5479|Brave New World / Brave New World Revisited|4.16
5480|Brave New World and Brave New World Revisited|4.16
5481|Brave New World Revisited|3.95
5485|Brave New World|3.99
5486|Andrew Carnegie|3.99
5488|The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3)|4.46
5490|Children of the Alley|4.10
5497|Akhenaten: Dweller in Truth|3.81
5498|Adrift on the Nile|3.82
5499|Midaq Alley|3.85
5502|The Harafish|4.36
5503|The Day the Leader Was Killed|3.63
5508|Anne Frank Beyond the Diary: A Photographic Remembrance|4.27
5509|Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family|4.29
5513|The Diary of Anne Frank|4.06
5514|Anne Frank: Life in Hiding|3.99
5518|Cliffs Notes on Hansberry's A Raisin in the Sun|3.90
5526|Dear John|4.03
5527|All the King's Men|4.09
5528|Cliffs notes on Warren's All the King's Men|3.45
5530|All the King's Men: Three Stage Versions|4.00
5534|Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body|3.98
5544|Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character|4.28
5545|The Feynman Lectures on Physics  3 Vols|4.60
5548|What Do You Care What Other People Think?|4.27
5550|Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman|4.25
5552|QED: The Strange Theory of Light and Matter|4.24
5554|Kiffe Kiffe Demain (French Edition)|3.40
5558|iWoz|3.87
5571|Cradle to Cradle: Remaking the Way We Make Things|4.11
5575|Cradle and All|3.86
5585|The Creation of the American Republic  1776-1787|4.12
5587|Power  Faith  and Fantasy: America in the Middle East 1776 to the Present|3.98
5595|Problems of the Self: Philosophical Papers 1956 1972|3.97
5598|Moral Luck: Philosophical Papers 1973-1980|4.09
5599|Ethics and the Limits of Philosophy|4.06
5606|On Rhetoric and Language: Four Key Dialogues|4.20
5635|The Norton Anthology of Modern and Contemporary Poetry|4.23
5653|The Elephant War|3.67
5659|The Wind in the Willows|3.99
5660|The Everyman Anthology of Poetry for Children|4.14
5661|Holiday Romance and Other Writings for Children|3.32
5665|Ideas Have Consequences|4.16
5671|The Ethics of Rhetoric|4.14
5678|Manliness|3.39
5685|Anna Karenina|4.05
5691|The Brothers Karamazov|4.32
5693|Selected Stories of Anton Chekhov|4.35
5694|Mother Maria Skobtsova: Essential Writings|4.31
5696|What is Art?|3.72
5697|The Complete Short Novels|4.47
5698|The Double and The Gambler|4.16
5700|The Adolescent|3.94
5712|If I Die in a Combat Zone|3.95
5713|If I Die In A Combat Zone|3.95
5720|Rainbow Six (John Clark  #2; Jack Ryan Universe  #10)|4.09
5728|Child of War  Woman of Peace|3.80
5729|When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace|4.12
5735|Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement|4.22
5736|Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South|4.13
5738|I'm Too Young To Be Seventy|3.93
5743|Seventy-Seven Clocks (Bryant & May #3)|3.89
5752|The Blank Slate: The Modern Denial of Human Nature|4.08
5755|The Language Instinct: How the Mind Creates Language|4.03
5756|Learnability and Cognition: The Acquisition of Argument Structure|3.75
5759|Fight Club|4.19
5766|BSD Hacks|3.80
5770|The Design and Implementation of the 4.3BSD UNIX Operating System|4.26
5776|Choke|3.84
5777|Choke Point: A Brinker Mystery (Brinker P.I.)|3.22
5787|The Aleph and Other Stories|4.38
5794|El Aleph|4.38
5797|Vanity Fair|3.79
5799|Vanity Fair|3.79
5800|Vanity Fair|3.79
5805|V for Vendetta|4.25
5809|V.|3.96
5810|Girl in the Shadows (Shadows  #2)|3.81
5812|V for Vendetta|4.15
5813|Heaven (Casteel  #1)|4.03
5814|Slow Learner: Early Stories|3.50
5816|A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel|4.01
5821|Casino Royale|3.73
5824|Casino Royale|3.70
5826|Bel Canto|3.93
5835|Guerilla Film Makers Movie Blueprint|4.20
5838|Mini-Manual of the Urban Guerrilla|3.31
5843|The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice)|3.13
5845|A Bend in the River|3.77
5848|The Middle Passage|3.61
5851|Magic Seeds|3.13
5853|Half a Life|3.25
5855|North of South: An African Journey|3.89
5863|V.S. Naipaul|2.00
5874|Regeneration Through Violence: The Mythology of the American Frontier  1600–1860|4.30
5875|Regeneration (Species Imperative  #3)|4.13
5877|The Regeneration Trilogy (Regeneration  #1-3)|4.38
5880|The Sparrow (The Sparrow  #1)|4.16
5881|The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5)|4.05
5882|The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4)|3.98
5883|The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3)|3.89
5885|The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2)|3.86
5886|The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1)|3.83
5890|The Woman in White|4.00
5891|The Woman in White|4.00
5893|The Woman in White|4.00
5896|The Woman in White|4.00
5898|The Lord of the Rings (The Lord of the Rings  #1-3)|4.50
5901|The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States|3.60
5907|The Hobbit  or There and Back Again|4.27
5910|The Annotated Hobbit|4.27
5911|Poems From The Hobbit|4.30
5912|The Hobbit: Or There and Back Again|4.27
5915|The Hobbit|4.27
5918|Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes|3.86
5931|The Essential Neruda: Selected Poems|4.46
5932|Twenty Love Poems and a Song of Despair|4.30
5934|Veinte poemas de amor y una canción desesperada; Cien sonetos de amor|4.30
5937|Love|4.46
5942|Anil's Ghost|3.57
5952|Waiting for My Cats to Die: A Memoir|3.67
5957|Narcissus and Goldmund|4.20
5966|Edward Lear's Book of Nonsense: With Lear's Original Illustrations|3.65
5969|A Sparrow Falls (Courtney #3)|4.19
5970|Providence of a Sparrow: Lessons from a Life Gone to the Birds|4.33
5974|Sparrow Hawk Red|3.79
5975|The Fall of a Sparrow|3.69
5976|The Bluebird and the Sparrow (Women of the West  #10)|3.83
5981|Journey of the Sparrows|3.69
5984|Aleutian Sparrow|3.78
5985|An Episode of Sparrows|4.21
5989|Li Po and Tu Fu: Poems|4.14
5991|混血王子的背叛 (哈利波特  #6)|4.57
6003|火盃的考驗 (哈利波特  #4)|4.56
6008|Five T'ang Poets|4.30
6038|The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill|3.88
6048|Juniper|4.16
6057|The Long Road Back: A Survivor's Guide to Anorexia|3.20
6058|The Road Back|4.32
6066|Robinson Crusoe|3.67
6069|Achilles in Vietnam: Combat Trauma and the Undoing of Character|4.25
6076|The Work of Mourning|4.20
6089|Transform Your Life: A step-by-step programme for change|4.00
6106|A Short History of Byzantium|4.09
6107|The Middle Sea: A History of the Mediterranean|3.85
6109|A History of Venice|4.20
6110|The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194|4.34
6112|Siddhartha|4.02
6115|Siddhartha|4.02
6129|Siddhartha|4.02
6138|The Moonstone|3.91
6140|The Moonstone|3.91
6144|The Moonstone|3.91
6148|Ride of the Second Horseman: The Birth and Death of War|4.29
6149|Beloved|3.83
6150|Cry  the Beloved Country|3.90
6151|Life of the Beloved: Spiritual Living in a Secular World|4.28
6152|Come Away My Beloved|4.58
6155|Israel  My Beloved|4.16
6156|Beloved Bride: The Letters of Stonewall Jackson to His Wife|4.10
6157|The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook)|3.95
6159|Reservation Blues|3.98
6163|The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain|4.44
6167|Music & Silence|3.95
6173|The Periodic Table|4.21
6174|Survival in Auschwitz|4.32
6175|The Reawakening|4.29
6176|The Drowned and the Saved|4.40
6180|The Monkey's Wrench|3.92
6182|Primo Levi: A Life|4.11
6184|Wuthering Heights|3.85
6192|Disgrace|3.84
6194|Waiting for the Barbarians|3.94
6197|The Lives of Animals|3.69
6198|Boyhood: Scenes from Provincial Life|3.79
6200|Youth|3.79
6207|Age of Iron|3.84
6216|The Wife (Kristin Lavransdatter  #2)|4.15
6217|Kristin Lavransdatter (Kristin Lavransdatter  #1-3)|4.28
6218|The Axe (The Master of Hestviken  #1)|4.21
6219|The Cross (Kristin Lavransdatter  #3)|4.29
6220|The Wreath (Kristin Lavransdatter  #1)|4.02
6221|The Mistress of Husaby (Kristin Lavransdatter  #2)|4.15
6222|Jenny|3.79
6224|The Unknown Sigrid Undset: Jenny and Other Works|4.19
6226|Gunnar's Daughter|4.18
6227|The Snake Pit (The Master of Hestviken  #2)|4.23
6230|The Son Avenger (The Master of Hestviken  #4)|4.40
6240|An Imaginary Life|3.88
6245|The Great World|3.88
6253|A Very Long Engagement|3.91
6259|Birdsong|4.09
6273|The Collected Poems of Wilfred Owen|4.34
6286|Murder in Foggy Bottom (Capital Crimes  #17)|3.71
6288|The Road|3.97
6290|The Road to Serfdom|4.18
6291|Road of the Patriarch (Forgotten Realms: The Sellswords  #3)|4.19
6293|Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways|3.96
6294|Howl's Moving Castle (Howl's Moving Castle  #1)|4.29
6295|Howl and Other Poems|4.13
6296|When Rabbit Howls|4.04
6297|The Art of Howl's Moving Castle|4.51
6298|Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence|4.22
6302|The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings|4.35
6310|Charlie and the Chocolate Factory (Charlie Bucket  #1)|4.13
6311|Charlie and the Chocolate Factory: A Play|4.33
6316|Charlie and the Chocolate Factory (Abridged)|3.86
6326|Collected Stories|4.39
6329|Roald Dahl Treasury|4.43
6332|Dirty Beasts|4.01
6334|Never Let Me Go|3.82
6335|Never Let Me Go|3.82
6339|Never Let Me Go|3.82
6340|Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad|4.30
6341|Paradoxes of Education in a Republic|4.28
6342|The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings|4.58
6343|Open Secrets / Inward Prospects: Reflections on World and Soul|4.42
6346|Phaedo|4.04
6360|Rocky Stories: Tales of Love  Hope  and Happiness at America's Most Famous Steps|4.16
6366|My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2)|3.88
6367|Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers #1)|3.81
6388|The Da Vinci Code (Robert Langdon  #2)|3.84
6407|Blessings from the Other Side: Wisdom and Comfort from the Afterlife for This Life|3.98
6414|Mother God: The Feminine Principle to Our Creator|4.05
6418|Thanksgiving|3.60
6419|Plum Lovin' (Stephanie Plum  #12.5)|3.72
6422|Four to Score (Stephanie Plum  #4)|4.17
6424|Seven Up (Stephanie Plum  #7)|4.16
6425|Hard Eight (Stephanie Plum  #8)|4.17
6426|Motor Mouth (Alex Barnaby #2)|3.68
6438|A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments|4.25
6440|Ivanhoe|3.75
6441|Ivanhoe|3.96
6459|Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...|3.73
6460|George Washington and Benedict Arnold: A Tale of Two Patriots|4.27
6462|His Excellency: George Washington|3.92
6466|George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom)|4.08
6475|George Washington's Sacred Fire|4.18
6480|Waverley|3.43
6482|The Antiquary|3.83
6483|Rob Roy|3.70
6505|Prozac Nation|3.59
6511|Girl  Interrupted: Screenplay based on the book|4.02
6524|How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling|3.86
6526|Book of the Dead (Kay Scarpetta  #15)|3.65
6527|At Risk (Winston Garano  #1)|3.41
6528|Predator (Kay Scarpetta  #14)|3.68
6530|Trace (Kay Scarpetta  #13)|3.78
6534|Postmortem (Kay Scarpetta  #1)|4.02
6536|Three Complete Novels: Postmortem / Body Of Evidence / All That Remains (Kay Scarpetta  #1  #2  #3)|4.29
6537|From Potter's Field (Kay Scarpetta  #6)|4.04
6539|The Body Farm (Kay Scarpetta  #5)|4.05
6540|Trace (Kay Scarpetta  #13)|3.78
6541|Cause of Death (Kay Scarpetta  #7)|3.93
6542|The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4)|4.16
6543|At Risk (Winston Garano  #1)|3.41
6544|The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4)|4.16
6545|In the Dark of the Night|3.88
6546|Perfect Nightmare|3.89
6549|  said the shotgun to the head.|4.22
6550|Early Color|4.73
6551|Herzog|3.78
6552|Midnight Voices|3.75
6553|The Manhattan Hunt Club|3.98
6556|Shadows|3.93
6557|The Presence|3.76
6562|Creature|3.84
6568|Asylum (Blackstone Chronicles  #6)|4.10
6572|Suffer the Children|3.91
6588|The Big Bad Wolf  (Alex Cross  #9)|3.99
6595|Big Bad Wolf|3.80
6611|Why Do Men Fall Asleep After Sex? More Questions You'd Only Ask a Doctor After Your Third Whiskey Sour|3.55
6613|Four Blondes|2.82
6614|Lipstick Jungle|3.41
6615|Lipstick Jungle|3.41
6618|The Easy Way to Stop Smoking: Join the Millions Who Have Become Nonsmokers Using the Easyway Method|4.30
6619|Teach Your Child to Read in 100 Easy Lessons|4.17
6624|It's Not Easy Being Green: And Other Things to Consider|4.20
6625|Playing Easy to Get (B.A.D. Agency #1.5; Vikings Underground #3; Immortals After Dark #1)|4.13
6628|The Big Over Easy (Nursery Crime  #1)|3.94
6635|The Enneagram Made Easy: Discover the 9 Types of People|3.82
6640|It's Easy Being Green: A Handbook for Earth-Friendly Living|3.55
6644|Le Divorce|2.88
6654|Divine Conspiracy: Rediscovering Our Hidden Life in God|4.22
6655|The Divine Comedy|4.07
6656|The Divine Comedy|4.07
6657|Divine|4.28
6658|When the Emperor Was Divine|3.73
6659|Complete Divine (Dungeons & Dragons Edition 3.5)|3.64
6660|A Divine Revelation of Hell|4.18
6667|Boy: Tales of Childhood (Roald Dahl's Autobiography  #1)|4.10
6668|The Enormous Crocodile|3.78
6670|The Magic Finger|3.68
6671|The Wonderful Story of Henry Sugar and Six More|4.14
6677|The Gremlins|3.44
6678|Going Solo (Roald Dahl's Autobiography  #2)|4.08
6680|Gumbo Ya-Ya: A Collection of Louisiana Folk Tales|4.04
6689|James and the Giant Peach|4.01
6690|Danny the Champion of the World|4.09
6691|My Uncle Oswald|3.89
6693|Fantastic Mr. Fox|4.05
6694|The Giraffe and the Pelly and Me|3.82
6708|The Power of Now: A Guide to Spiritual Enlightenment|4.13
6721|Wild Things: Four Tales|3.58
6745|Wild Things (Prowlers Book 1)|4.03
6748|A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments|4.25
6749|Oblivion|4.07
6751|Consider the Lobster and Other Essays|4.23
6753|Brief Interviews with Hideous Men|3.86
6763|Diabetes Meal Planning Made Easy|3.42
6764|Easy French Reader|3.85
6781|Algebra the Easy Way|4.06
6793|Easy Riders  Raging Bulls|4.12
6794|Cloud Atlas|4.02
6795|The Cloud Atlas|3.38
6800|Easy Labor: Every Woman's Guide to Choosing Less Pain and More Joy During Childbirth|3.45
6810|The McDougall Quick and Easy Cookbook|4.01
6815|American Sign Language The Easy Way|3.75
6819|Ghostwritten|4.05
6823|Romeo & Juliet|3.74
6838|Easy Prey (Lucas Davenport  #11)|4.08
6851|Mayada  Daughter of Iraq: One Woman's Survival Under Saddam Hussein|4.00
6854|Three to Get Deadly (Stephanie Plum  #3)|4.15
6855|Smitten (Elsie Hawkins #2)|3.67
6856|Manhunt|3.70
6857|Three Plums In One (Stephanie Plum  #1-3)|4.31
6858|Hot Six (Stephanie Plum  #6)|4.19
6862|Amsterdam|3.43
6866|Fodor's Amsterdam (Fodor's Gold Guides)|3.43
6869|The Child in Time|3.58
6870|Enduring Love|3.63
6871|Black Dogs|3.44
6872|The Comfort of Strangers|3.41
6876|And the Envelope  Please...: Ever After / An Affair To Remember / It Happened One Night|3.57
6896|Las rubias de 5th Avenue|3.28
6899|Tuesdays with Morrie|4.10
6902|La Dernière Leçon|4.10
6903|My Sister's Keeper|3.86
6904|My Sister's Keeper (Gillian Adams  #2)|3.70
6905|Their Sisters' Keepers: Women's Prison Reform in America  1830-1930|4.27
6919|Baby's Alphabet|3.75
6925|Welcome to the Monkey House|4.15
6932|What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers|3.70
6937|You Can Have What You Want: Proven Strategies for Inner and Outer Success|4.14
6952|Like Water for Chocolate|3.95
6953|Like Water for Chocolate|3.95
6954|Como agua para chocolate|3.95
6956|The Radicalism of the American Revolution|4.06
6969|Emma|4.00
6970|Prince of Ice (Tale of the Demon World  #3)|3.99
6971|Emma Lazarus|3.88
6974|Strange Attractions|3.68
6976|The Mermaid Chair|3.13
6980|The Dance of the Dissident Daughter: A Woman's Journey from Christian Tradition to the Sacred Feminine|3.95
6981|When the Heart Waits: Spiritual Direction for Life's Sacred Questions|4.13
6984|With Open Hands|4.30
6987|Saxons  Vikings  and Celts: The Genetic Roots of Britain and Ireland|3.86
6988|Yeah  I Said It|3.71
6992|The Seven Daughters Of Eve|3.98
6994|Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read  Write or Add|3.71
7003|If I Don't Write It Nobody Else Will: An Autobiography|3.88
7006|Hamlet|4.02
7007|William Shakespeare's A Midsummer Night's Dream (Cliffs Complete)|3.89
7009|A Midsummer Night's Dream|3.94
7010|A Midsummer Night's Dream|3.94
7011|A Midsummer Night's Dream|3.94
7015|A Midsummer Night's Dream|3.94
7023|The Burning (Guardians of Ga'Hoole  #6)|4.08
7027|The Siege (Guardians of Ga'Hoole  #4)|4.10
7034|In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6)|4.08
7035|Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3)|3.98
7037|In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6)|4.08
7041|The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5)|4.02
7045|The Tale of Genji|3.72
7048|The Tale of Genji|4.05
7050|The Tale of Genji: Scenes from the World's First Novel (Illustrated Japanese Classics)|3.74
7052|Blue Shoes and Happiness (No. 1 Ladies' Detective Agency  #7)|4.06
7053|In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6)|4.08
7054|Ein Gentleman für Mma Ramotswe (No. 1 Ladies' Detective Agency  #2)|3.96
7055|Ein Koch für Mma Ramotswe (No. 1 Ladies' Detective Agency  #3)|3.98
7058|The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8)|4.07
7061|The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)|3.78
7062|Paris to the Moon|3.76
7064|The Belly of Paris (Les Rougon-Macquart  #3)|3.91
7071|My Movie Business: A Memoir|3.34
7076|Setting Free the Bears / The Water-Method Man / The 158-Pound Marriage|3.83
7078|The Headmaster's Papers|3.99
7086|Blade Runner|4.08
7089|The Android (Animorphs  #10)|3.77
7090|The Soul of a New Machine|4.11
7092|No Better Place to Die: The Battle Of Stones River|4.17
7093|Never Call Retreat|4.33
7101|The 42nd Parallel (U.S.A.  #1)|3.82
7102|U.S.A.: 42e Parallèle/L'An premier du siècle/La Grosse galette|4.10
7103|The Big Money (U.S.A.  #3)|4.03
7104|1919 (U.S.A.  #2)|4.00
7113|The King in the Window|3.60
7118|The Karamazov Brothers|4.32
7119|The Grand Inquisitor: with related chapters from The Brothers Karamazov|4.36
7126|The Count of Monte Cristo|4.25
7127|The Count of Monte Cristo|4.25
7131|The Count of Monte Cristo|4.25
7135|The Brothers Karamazov|4.32
7138|Crime and Punishment|4.21
7139|Crime and Punishment in American History|3.86
7140|Crime and Punishment in America|3.83
7141|Cliffsnotes on Dostoevsky's Crime and Punishment|3.72
7142|On Crimes and Punishments|3.92
7144|Crime and Punishment|4.21
7150|Crime and Punishment (Norton Critical Editions)|4.21
7154|The Politics of Injustice: Crime and Punishment in America|3.87
7160|The Beginning and the End|4.08
7182|The Black Tulip|3.80
7186|La Dame aux Camélias|3.99
7188|The Women's War|3.93
7197|The Knight of Maison-Rouge|3.89
7199|The Way the Crow Flies|4.09
7201|As the Crow Flies|4.10
7208|Under The Tuscan Sun - At Home In Italy|3.75
7214|Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality|3.90
7220|The Secret Life of Bees|4.05
7230|The Wounded Healer: Ministry in Contemporary Society|4.26
7231|The Dance of Life: Weaving Sorrows and Blessings Into One Joyful Step|4.20
7240|The Prodigal Son (Roger the Chapman  #15)|4.07
7244|The Poisonwood Bible|4.06
7246|The Poisonwood Bible|4.06
7252|How to Make Love Like a Porn Star: A Cautionary Tale|3.76
7260|Dominion: The Power of Man  the Suffering of Animals  and the Call to Mercy|4.16
7263|No Dominion (Joe Pitt  #2)|3.99
7264|Dominion (Ollie Chandler #2)|4.22
7266|O Is for Old Dominion: A Virginia Alphabet|3.76
7268|Dominion|3.75
7269|Essentials of Conservation Biology|3.92
7271|Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity|4.59
7277|Key Topics in Conservation Biology|3.33
7286|The Sawtooth Wolves|4.58
7304|Rainforest Home Remedies: The Maya Way To Heal Your Body and Replenish Your Soul|4.13
7315|Zolar's Encyclopedia and Dictionary of Dreams: Fully Revised and Updated for the 21st Century|3.68
7321|The Complete Dream Dictionary|3.68
7331|Letters from Father Christmas|4.25
7332|The Silmarillion|3.92
7336|J.R.R. Tolkien: A Biography|4.08
7337|The Tolkien Reader|3.99
7338|Tolkien on Film: Essays on Peter Jackson's The Lord of the Rings|3.79
7339|The Monsters and the Critics and Other Essays|3.93
7340|The Maps of Tolkien's Middle-earth|4.14
7341|The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth|4.09
7342|The Treason of Isengard: The History of The Lord of the Rings  Part Two (The History of Middle-earth  #7)|4.17
7343|Tolkien and the Great War: The Threshold of Middle-earth|3.71
7344|Tolkien and C.S. Lewis: The Gift of a Friendship|4.01
7347|The Book of Lost Tales  Part One (The History of Middle-Earth  #1)|3.83
7348|Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth|4.05
7351|The Lord of the Rings: The Making of the Movie Trilogy|4.47
7352|Tolkien: A Look Behind The Lord of the Rings|3.76
7353|The Lord of the Rings (The Lord of the Rings  #1-3)|4.50
7360|Midnight in the Garden of Good and Evil|3.92
7361|Tom's Midnight Garden|4.07
7366|Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior|4.14
7370|God's Covenant with Animals: A Biblical Basis for the Humane Treatment of All Creatures|4.00
7375|Lafayette|4.37
7388|My Pride and Joy: An Autobiography|4.23
7389|Runaways  Vol. 1: Pride and Joy|3.97
7393|Sky's Pride and Joy (Bachelor Gulch #8)|3.33
7400|The Baby Emergency (Tennengarrah Clinic #1)|3.60
7415|The Shaping of America: A Geographical Perspective on 500 Years of History: Volume 2: Continental America  1800-1867|4.19
7420|The Basic Bakunin|3.77
7422|Berlioz: Servitude and Greatness  1832-1869 (Volume 2)|4.27
7430|The Nubian Prince|3.54
7432|Pardonable Lies (Maisie Dobbs  #3)|4.09
7437|Naked Lunch|3.46
7439|Naked Lunch: The Restored Text|3.46
7444|The Electric Kool-aid Acid Test/The Kandy Kolored Tangerine Flake Streamline Baby/Radical Chic & Mau Mauing the Flak Catchers|3.97
7445|The Glass Castle|4.27
7453|Same Sex in the City|3.62
7454|Sex and the City: Kiss and Tell|4.01
7477|Human Traces|3.63
7480|The Girl at the Lion d'Or|3.58
7482|Human Traces|3.63
7493|Founding Brothers: The Revolutionary Generation|3.93
7494|Suzanne's Diary for Nicholas|4.17
7501|Hitler's Willing Executioners: Ordinary Germans and the Holocaust|3.68
7503|Hitler's Willinge Vollstrecker: Ganz gewöhlnliche Deutsche und der Holocaust|3.68
7505|Beach Girls|4.06
7510|The Beach House|3.84
7512|The Beach House (Beach House #1)|4.20
7515|The Beach House|3.84
7520|Path of the Assassin (Scot Harvath  #2)|4.17
7524|Presidential Assassins (History Makers)|3.60
7526|The Blind Side: Evolution of a Game|4.18
7527|The Blind Watchmaker|4.08
7529|I Love Everybody (and Other Atrocious Lies)|3.97
7530|Autobiography of a Fat Bride: True Tales of a Pretend Adulthood|3.98
7531|The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life|3.88
7533|We Thought You Would Be Prettier: True Tales of the Dorkiest Girl Alive|3.92
7534|There's a (Slight) Chance I Might Be Going to Hell: A Novel of Sewer Pipes  Pageant Queens  and Big Trouble|3.55
7536|Anleitung zum Zickigsein|3.88
7543|The Psychology of Winning|4.21
7549|Jimmy Corrigan: El Chico más Listo del Mundo|4.09
